City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
161,Porto Novo,BJ,87.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
163,Reitz,ZA,80.15,clear sky,-27.8014,28.4273,The Lillies Guesthouse
166,Kaabong,UG,80.06,overcast clouds,3.4836,34.1492,Rock Motel Ltd
175,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
178,Masuguru,TZ,82.89,light rain,-11.3667,38.4167,
180,Kraksaan,ID,80.38,scattered clouds,-7.7585,113.3962,Asrama Hati
181,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
190,Rio Novo,BR,85.05,overcast clouds,-21.4575,-43.1253,Pousada Nossa Terra
197,Luderitz,,85.59,broken clouds,-26.6481,15.1594,Lüderitz Nest Hotel
214,Namatanai,PG,79.88,light rain,-3.6667,152.4333,Seagulls Inn Namatani
215,Port Alfred,ZA,78.37,clear sky,-33.5906,26.891,The Halyards Hotel
218,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
219,Kavieng,PG,82.6,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
221,Alto Araguaia,BR,86.41,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
223,Ayorou,NE,85.62,clear sky,14.7308,0.9174,Hotel Amenokal
224,Madang,PG,76.06,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
227,Lorengau,PG,81.19,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
236,Liwale,TZ,75.43,moderate rain,-9.7667,37.9333,Samoma lodge
237,Miri,MY,75.34,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
240,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
243,Carutapera,BR,80.96,overcast clouds,-1.195,-46.02,Lidera
244,La Mana,EC,84.9,moderate rain,-0.9333,-79.2167,Hotel Somagg
248,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
249,Itambacuri,BR,81.18,broken clouds,-18.0311,-41.685,Pousada Bela
251,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
252,Bandarbeyla,SO,76.06,overcast clouds,9.4942,50.8122,JABIR HOTEL
262,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
266,Beira,MZ,84.29,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
267,Gorontalo,ID,76.69,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
269,Savannah Bight,HN,75.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
270,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
281,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
288,Vicencia,BR,84.81,scattered clouds,-7.6569,-35.3267,Silva e Lemos House
289,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
293,Trairi,BR,87.17,overcast clouds,-3.2778,-39.2689,janelas do mar
299,Kaniama,CD,78.31,light rain,-7.5667,24.1833,
302,Namibe,AO,80.74,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
304,Mataram,ID,79.61,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
306,Matara,LK,75.85,clear sky,5.9485,80.5353,Amaloh Boutique Resort
324,Kota Kinabalu,MY,82.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
328,Kimbe,PG,76.21,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
335,Ban Dung,TH,80.87,clear sky,17.699,103.2596,Heuan Na Khee
337,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
338,Dingle,PH,75.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
342,Cairns,AU,78.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
344,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
346,Chake Chake,TZ,82.4,overcast clouds,-5.2459,39.7666,Hotel Archipelago
349,Codrington,AU,75.16,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
353,Quelimane,MZ,82.35,broken clouds,-17.8786,36.8883,Hotel Flamingo
356,Davila,PH,77.23,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
357,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
360,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
362,Acarau,BR,87.21,broken clouds,-2.8856,-40.12,castelo pizzaria
363,Kruisfontein,ZA,84.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
365,Durban,ZA,86.92,clear sky,-29.8579,31.0292,Hilton Durban
366,Maraa,BR,83.7,broken clouds,-1.8333,-65.3667,
368,Eirunepe,BR,83.17,scattered clouds,-6.6603,-69.8736,Atrás de você
370,Porto Belo,BR,88.16,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
377,Vanimo,PG,78.24,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
379,Hwange,ZW,76.91,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
380,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
383,Puerto Narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
387,Hobyo,SO,79.03,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
388,Ambulu,ID,77.79,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
395,Rio Casca,BR,80.04,overcast clouds,-20.2261,-42.6508,Hotel Morada do Sol
398,Paracuru,BR,86.02,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
400,La Romana,DO,78.53,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
403,Tarauaca,BR,83.62,scattered clouds,-8.1614,-70.7656,Flat Temporada
405,Lupiro,TZ,82.38,light rain,-8.3833,36.6667,AFRICAN JACCANA EXECUTIVE LODGE
406,Dhidhdhoo,MV,80.87,overcast clouds,6.8833,73.1,Dhidhoo beach
408,Xai-Xai,MZ,80.56,scattered clouds,-25.0519,33.6442,Complexo da Familia
419,Coahuayana,MX,76.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
